sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19
3030.93,2564.0,2187.7333,1411.1265,1.3602,100.0,97.6133,0.1242,1.5005,0.0162,-0.0034,0.9455,202.4396,0.0,7.9558,414.871,10.0433,0.968,192.3963,12.519
3095.78,2465.14,2230.4222,1463.6606,0.8294,100.0,102.3433,0.1247,1.4966,-0.0005,-0.0148,0.9627,200.547,0.0,10.1548,414.7347,9.2599,0.9701,191.2872,12.4608
2932.61,2559.94,2186.4111,1698.0172,1.5102,100.0,95.4878,0.1241,1.4436,0.0041,0.0013,0.9615,202.0179,0.0,9.5157,416.7075,9.3144,0.9674,192.7035,12.5404
2988.72,2479.9,2199.0333,909.7926,1.3204,100.0,104.2367,0.1217,1.4882,-0.0124,-0.0033,0.9629,201.8482,0.0,9.6052,422.2894,9.6924,0.9687,192.1557,12.4782
3032.24,2502.87,2233.3667,1326.52,1.5334,100.0,100.3967,0.1235,1.5031,-0.0031,-0.0072,0.9569,201.9424,0.0,10.5661,420.5925,10.3387,0.9735,191.6037,12.4735
2946.25,2432.84,2233.3667,1326.52,1.5334,100.0,100.3967,0.1235,1.5287,0.0167,0.0055,0.9699,200.472,0.0,8.6617,414.2426,9.2441,0.9747,191.228,12.4935
3030.27,2430.12,2230.4222,1463.6606,0.8294,100.0,102.3433,0.1247,1.5816,-0.027,0.0105,0.9591,202.0901,0.0,9.035,415.8852,9.999,0.9667,192.0912,12.4608
3058.88,2690.15,2248.9,1004.4692,0.7884,100.0,106.24,0.1185,1.5153,0.0157,0.0007,0.9481,202.417,0.0,13.6872,408.4017,9.6836,0.9687,192.7334,12.5263
2967.68,2600.47,2248.9,1004.4692,0.7884,100.0,106.24,0.1185,1.5358,0.0111,-0.0066,0.9494,202.4544,0.0,12.6837,417.6009,9.7046,0.9693,192.7498,12.5263
3016.11,2428.37,2248.9,1004.4692,0.7884,100.0,106.24,0.1185,1.5381,0.0159,0.0049,0.944,202.5999,0.0,12.4278,413.3677,9.7046,0.9667,192.8953,12.5263
2994.05,2548.21,2195.1222,1046.1468,1.3204,100.0,103.34,0.1223,1.5144,-0.019,0.0013,0.9433,201.7125,0.0,11.8566,411.9572,10.2918,0.9664,191.4207,12.4663
2928.84,2479.4,2196.2111,1605.7578,0.9959,100.0,97.9156,0.1257,1.469,0.017,-0.0154,0.9445,202.1264,0.0,9.1084,419.9018,10.113,0.9673,192.0134,12.5263
2920.07,2507.4,2195.1222,1046.1468,1.3204,100.0,103.34,0.1223,1.531,-0.0259,0.0216,0.9595,202.1269,0.0,8.4828,415.5185,9.5007,0.9666,192.6261,12.4186
3051.44,2529.27,2184.4333,877.6266,1.4668,100.0,107.8711,0.124,1.5236,-0.0209,-0.0031,0.9441,226.0086,0.0,9.7686,409.8885,10.4109,0.9516,215.5977,10.7029
2963.97,2629.48,2224.6222,947.7739,1.2924,100.0,104.8489,0.1197,1.4474,0.0144,-0.0119,0.9582,195.3787,0.0,9.7561,422.3675,9.7825,0.9692,185.5963,12.4582
